STALPBR,BKCLASS,ZIPBR,DEPSUM,MSABR,UNINUMBR,ASSET,CNTYNAMB,ADDRESBR,YEAR,STCNTYBR,DEPSUMBR,MSANAMB,CERT,CITYBR,BRNUM,ID
GA,NM,30512,4807784,0,10978.0,6171865,Union,59 Highway 515,2007,13291,927295,,16889,Blairsville,0,2007_16889_0
GA,NM,30004,4656866,12060,44037.0,5627046,Fulton,8025 Westside Parkway,2009,13121,1635560,"Atlanta-Sandy Springs-Roswell, GA",31203,Alpharetta,0,2009_31203_0
GA,NM,31768,4512524,0,14145.0,5209908,Colquitt,225 South Main Street,2015,13071,211178,,20504,Moultrie,0,2015_20504_0
GA,N,30303,4403626,12060,1393.0,6571990,Fulton,"55 Marietta Street, N.W.",1994,13121,550207,"Atlanta-Sandy Springs-Roswell, GA",2116,Atlanta,0,1994_2116_0
GA,NM,31210,4368234,31420,428584.0,5001898,Bibb,4219 Forsyth Road,2018,13021,624561,"Macon-Bibb County, GA",57870,Macon,0,2018_57870_0
GA,N,30305,4365043,12060,32882.0,4746683,Fulton,"3475 Piedmont Road, Ne, Suite 550",2018,13121,4365043,"Atlanta-Sandy Springs-Roswell, GA",26342,Atlanta,0,2018_26342_0
GA,N,30326,4232835,12060,32882.0,4691587,Fulton,3550 Lenox Road Ne,2019,13121,4232835,"Atlanta-Sandy Springs-Alpharetta, GA",26342,Atlanta,0,2019_26342_0
GA,N,30326,4226375,12060,32882.0,4752233,Fulton,3550 Lenox Road Ne,2020,13121,4226375,"Atlanta-Sandy Springs-Alpharetta, GA",26342,Atlanta,0,2020_26342_0
GA,NM,30512,4111519,0,10978.0,5277754,Union,59 Highway 515,2006,13291,829545,,16889,Blairsville,0,2006_16889_0
GA,NM,30305,4084946,12060,14825.0,4891659,Fulton,3490 Piedmont Road Ne,2018,13121,332132,"Atlanta-Sandy Springs-Roswell, GA",21440,Atlanta,0,2018_21440_0
GA,NM,30305,4078287,12060,14825.0,4776434,Fulton,3490 Piedmont Road Ne,2019,13121,346025,"Atlanta-Sandy Springs-Alpharetta, GA",21440,Atlanta,0,2019_21440_0
GA,NM,30004,4074207,12060,44037.0,5550947,Fulton,8025 Westside Parkway,2008,13121,1363682,"Atlanta-Sandy Springs-Roswell, GA",31203,Alpharetta,0,2008_31203_0
GA,NM,30305,3904762,12060,14825.0,4604369,Fulton,3490 Piedmont Road Ne,2017,13121,336012,"Atlanta-Sandy Springs-Roswell, GA",21440,Atlanta,0,2017_21440_0
GA,N,30305,3797353,12060,32882.0,4127421,Fulton,"3475 Piedmont Road, Ne, Suite 550",2017,13121,3797353,"Atlanta-Sandy Springs-Roswell, GA",26342,Atlanta,0,2017_26342_0
GA,N,30308,3576591,12060,32986.0,5011524,Fulton,"600 West Peachtree Street, One Georgia Center",1996,13121,535322,"Atlanta-Sandy Springs-Roswell, GA",26382,Atlanta,0,1996_26382_0
GA,NM,30305,3574938,12060,14825.0,4276653,Fulton,3490 Piedmont Road Ne,2016,13121,328065,"Atlanta-Sandy Springs-Roswell, GA",21440,Atlanta,0,2016_21440_0
GA,NM,31210,3514060,31420,428584.0,4216655,Bibb,4219 Forsyth Road,2017,13021,509276,"Macon-Bibb County, GA",57870,Macon,0,2017_57870_0
GA,NM,30004,3392296,12060,44037.0,4166073,Fulton,8025 Westside Parkway,2007,13121,972553,"Atlanta-Sandy Springs-Roswell, GA",31203,Alpharetta,0,2007_31203_0
GA,NM,31902,3371136,17980,556.0,6595714,Muscogee,1148 Broadway,2009,13215,2786446,"Columbus, GA-AL",873,Columbus,0,2009_873_0
GA,N,30305,3322528,12060,32882.0,3622231,Fulton,"3475 Piedmont Road, Ne, Suite 550",2016,13121,3322528,"Atlanta-Sandy Springs-Roswell, GA",26342,Atlanta,0,2016_26342_0
GA,N,30326,3315949,12060,81319.0,3779141,Fulton,"945 E Paces Ferry Rd Ne, Ste 1600",2021,13121,0,"Atlanta-Sandy Springs-Alpharetta, GA",35525,Atlanta,0,2021_35525_0
